model,image,imgsz,instances,cracks,potholes,inference_ms
local_epoch1,India_002644.jpg,448,0,0,0,56.75145800341852
local_epoch1,India_002981.jpg,448,0,0,0,59.14154200581834
local_epoch1,India_003901.jpg,448,0,0,0,56.534874995122664
local_epoch1,India_005005.jpg,448,0,0,0,58.74450000555953
local_epoch1,India_008195.jpg,448,0,0,0,59.54037499759579
local_epoch1,Japan_005907.jpg,448,0,0,0,65.09691599785583
local_epoch1,Japan_005998.jpg,448,1,1,0,62.140333000570536
local_epoch1,Japan_009916.jpg,448,0,0,0,66.45883299643174
local_epoch1,Japan_011731.jpg,448,0,0,0,65.44920799933607
local_epoch1,Japan_011738.jpg,448,1,1,0,64.47312499949476
local_epoch1,Japan_012484.jpg,448,2,2,0,63.45270799647551
local_epoch1,Norway_000943.jpg,448,0,0,0,65.28104100289056
local_epoch1,Norway_001839.jpg,448,0,0,0,64.31999999767868
local_epoch1,Norway_004850.jpg,448,0,0,0,63.738208002178
local_epoch1,Norway_005864.jpg,448,0,0,0,59.45166700257687
local_epoch1,Norway_007782.jpg,448,0,0,0,63.23300000076415
local_epoch1,United_States_000495.jpg,448,0,0,0,62.74491599469911
local_epoch1,United_States_000902.jpg,448,0,0,0,61.807958998542745
local_epoch1,United_States_001437.jpg,448,0,0,0,68.68920900160447
local_epoch1,United_States_001557.jpg,448,0,0,0,62.38341699645389
local_epoch1,United_States_001599.jpg,448,0,0,0,60.05254200135823
local_epoch1,China_Drone_000827.jpg,736,1,1,0,126.85583400161704
local_epoch1,China_Drone_000878.jpg,736,1,1,0,125.59550000150921
local_epoch1,China_Drone_001033.jpg,736,0,0,0,122.76312500034692
local_epoch1,China_Drone_001118.jpg,736,0,0,0,125.70487500488525
local_epoch1,China_MotorBike_000433.jpg,736,0,0,0,137.41587499680463
local_epoch1,China_MotorBike_000574.jpg,736,1,1,0,131.6486249997979
local_epoch1,China_MotorBike_000796.jpg,736,0,0,0,127.60129099478945
local_epoch1,China_MotorBike_001024.jpg,736,2,2,0,141.29037499515107
local_epoch1,China_MotorBike_001727.jpg,736,0,0,0,122.0421250036452
local_epoch1,India_001046.jpg,736,0,0,0,122.01262500457233
local_epoch1,India_002522.jpg,736,1,1,0,116.9187920022523
local_epoch1,India_002644.jpg,736,0,0,0,123.12662500335136
local_epoch1,India_002981.jpg,736,0,0,0,128.58541699824855
local_epoch1,India_003901.jpg,736,0,0,0,120.63954200129956
local_epoch1,India_005005.jpg,736,0,0,0,123.22333300107857
local_epoch1,India_008195.jpg,736,0,0,0,118.58312500407919
local_epoch1,Japan_005907.jpg,736,0,0,0,118.83479199605063
local_epoch1,Japan_005998.jpg,736,0,0,0,134.47200000518933
local_epoch1,Japan_009916.jpg,736,0,0,0,133.95391599624418
local_epoch1,Japan_011731.jpg,736,0,0,0,131.2146250056685
local_epoch1,Japan_011738.jpg,736,1,1,0,134.03004200517898
local_epoch1,Japan_012484.jpg,736,1,1,0,126.64008299907437
local_epoch1,Norway_000943.jpg,736,0,0,0,128.13429200468818
local_epoch1,Norway_001839.jpg,736,0,0,0,126.25412499619415
local_epoch1,Norway_004850.jpg,736,0,0,0,125.82945900066989
local_epoch1,Norway_005864.jpg,736,0,0,0,136.2252909966628
local_epoch1,Norway_007782.jpg,736,0,0,0,133.07670899666846
local_epoch1,United_States_000495.jpg,736,2,2,0,128.18020900158444
local_epoch1,United_States_000902.jpg,736,2,2,0,124.21137500496116
local_epoch1,United_States_001437.jpg,736,2,2,0,124.87429100292502
local_epoch1,United_States_001557.jpg,736,1,1,0,119.17133299721172
local_epoch1,United_States_001599.jpg,736,1,1,0,160.4233749967534
